title,related_tags
Eigenwert
Charakterisierungen von Diagonalisierbarkeit
Eigenraum,Eigenwert
charakteristisches Polynom eines Endomorphismus, Eigenwert
algebraische Vielfachheit eines Eigenwerts, Eigenwert
Satz von Cayley-Hamilton,charakteristisches Polynom eines Endomorphismus;Minimalpolynom eines Endomorphismus
Minimalpolynom eines Endomorphismus
Dualraum
Linearform
duale Basis
Annullator
duale Abbildung
Bidualraum
Bilinearform
Darstellungsmatrix einer Bilinearformen
Transformationsformel für die Darstellungsmatrix einer Bilinearform
nicht-ausgeartete Bilinearform
perfekte Bilinearform
symmetrische Bilinearform
antisymmetrische Bilinearform
alternierende Bilinearform
quadratische Form
Homomorphismus quadratischer Räume
Existenz von Orthogonalbasen
Klassifikation quadratischer Räume über C und R
Sylvesterscher Trägheitssatz
Skalarprodukt
Norm
orthogonales Komplement
Orthogonalprojektion
Gram-Schmidt-Verfahren
positiv definite Matrix
Cauchy-Schwarz-Ungleichung
Eigenschaften der Norm
orthogonale Abbildungen und Matrrizen
orthogonale und spezielle orthogonale Gruppe
O(2)
adjungierte Abbildung
selbstadjungierter Endomorphismus
Spektralsatz
Hauptachsentransformation
Sesquilinearformen
hermitesche Formen
unitäre Räume
normale Endomorphismen
Ringhomomorphismus
Ideal
Restklasse
Faktorring
Nullteiler
Einheiten
größter gemeinsamer Teiler
irreduzibles Element
Primelement
faktorieller Ring
HIR sind faktoriell
Euklidischer Ring
Euklidische Ringe sind faktoriell
Euklidischer Algorithmus
Gauß-Diagonalisierung von Matrizen über Euklidischen Ringen
Äquivalenz und Ähnlichkeit von Matrizen
Fittingideale
Fittings Lemma
Elementarteilersatz
Satz von Frobenius
Invarianten- und Determinantenteiler
Invariantenteilersatz
Begleitmatrix
Frobenius-Normalform
Weierstrass-Normalform
Jordanmatrix
Jordansche Normalform
Modul
Modulhomomorphismus
Untermodul
Faktormodul
Erzeugendensystem eines Moduls
lineare Unabhängigkeit
Basis eines freien Moduls
freier Modul
Torsion
Länge eines Moduls
Länge einer direkten Summe von Moduln
Rang eines freien Moduls
Elementarteiler
