title,related_tags,courses
Nullteiler,,Lineare Algebra 2
Einheit,,Lineare Algebra 2
nullteilerfreier Ring,Nullteiler&Teiler&größter gemeinsamer Teiler&irreduzibles Element&Primelement&faktorieller Ring,Lineare Algebra 2
Teiler,,Lineare Algebra 2
assoziierte Ringelemente,Einheit&Teiler,Lineare Algebra 2
größter gemeinsamer Teiler,,Lineare Algebra 2
irreduzibles Element,,Lineare Algebra 2
Primelement,,Lineare Algebra 2
faktorieller Ring,,Lineare Algebra 2
HIR sind faktoriell,faktorieller Ring&Hauptidealring (HIR),Lineare Algebra 2
Euklidischer Ring,Euklidische Ringe sind faktoriell&Euklidischer Algorithmus&Gauß-Diagonalisierung von Matrizen über Euklidischen Ringen&Elementarteilersatz für Matrizen über Euklidischen Ringen,Lineare Algebra 2
Euklidische Ringe sind HIR,Euklidischer Ring&Hauptidealring,Lineare Algebra 2
Euklidische Ringe sind faktoriell,faktorieller Ring,Lineare Algebra 2
Euklidischer Algorithmus,,Lineare Algebra 2
Gauß-Diagonalisierung von Matrizen über Euklidischen Ringen,,Lineare Algebra 2
Äquivalenz und Ähnlichkeit von Matrizen über Ringen,Satz von Frobenius,Lineare Algebra 2
Fittingideale,,Lineare Algebra 2
Fittings Lemma,,Lineare Algebra 2
Elementarteilersatz für Matrizen über Euklidischen Ringen,Gauß-Diagonalisierung von Matrizen über Euklidischen Ringen&Äquivalenz und Ähnlichkeit von Matrizen über Ringen&Fittingideale&Fittings Lemma&Invarianten- und Determinantenteiler einer Matrix&Invariantenteilersatz&Begleitmatrix&Frobenius-Normalform&Weierstrass-Normalform&Jordanmatrix&Jordansche Normalform,Lineare Algebra 2
Normalformen von Endomorphismen,charakteristische Matrix eines Endomorphismus&Satz von Frobenius&Invarianten- und Determinantenteiler einer Matrix&Invariantenteilersatz,Lineare Algebra 2
charakteristische Matrix eines Endomorphismus,Satz von Frobenius,Lineare Algebra 2
Satz von Frobenius,Invarianten- und Determinantenteiler einer Matrix,Lineare Algebra 2
Invarianten- und Determinantenteiler einer Matrix,Invariantenteilersatz,Lineare Algebra 2
Invariantenteilersatz,,Lineare Algebra 2
Begleitmatrix,,Lineare Algebra 2
Frobenius-Normalform,Begleitmatrix&Invarianten- und Determinantenteiler einer Matrix&Weierstrass-Normalform,Lineare Algebra 2
Weierstrass-Normalform,Invarianten- und Determinantenteiler einer Matrix&Jordansche Normalform,Lineare Algebra 2
Jordanmatrix,Jordansche Normalform,Lineare Algebra 2
Jordansche Normalform,,Lineare Algebra 2
Modul,Vektorraum&Modulhomomorphismus&Untermodul&Faktormodul&lineare Unabhängigkeit in Moduln&Basis eines freien Moduls&freier Modul&Torsionsuntermodul&Länge eines Moduls&Länge einer direkten Summe von Moduln&Rang eines freien Moduls,Lineare Algebra 2
Modulhomomorphismus,,Lineare Algebra 2
Untermodul,,Lineare Algebra 2
Faktormodul,,Lineare Algebra 2
Erzeugendensystem eines Moduls,,Lineare Algebra 2
lineare Unabhängigkeit in Moduln,,Lineare Algebra 2
Basis eines freien Moduls,,Lineare Algebra 2
freier Modul,Basis eines freien Moduls&Rang eines freien Moduls,Lineare Algebra 2
Torsionsuntermodul,,Lineare Algebra 2
Länge eines Moduls,,Lineare Algebra 2
Länge einer direkten Summe von Moduln,Länge eines Moduls,Lineare Algebra 2
Moduln über Hauptidealringen,Rang eines endlich freien Moduls über einem HIR&Rang eines endlich freien Moduls über einem HIR&Diagonalisierung von Matrizen über einem HIR&Elementarteilersatz für Untermoduln endlich freier Moduln über HIR&Hauptsatz für endlich erzeugte Moduln über HIR&Hauptsatz für endlich erzeugte abelsche Gruppen&Chinesischer Restsatz über HIR,Lineare Algebra 2
Rang eines endlich freien Moduls über einem HIR,,Lineare Algebra 2
Diagonalisierung von Matrizen über einem HIR,Elementarteilersatz für Untermoduln endlich freier Moduln über HIR,Lineare Algebra 2
Elementarteilersatz für Untermoduln endlich freier Moduln über HIR,,Lineare Algebra 2
Hauptsatz für endlich erzeugte Moduln über HIR,Hauptsatz für endlich erzeugte abelsche Gruppen,Lineare Algebra 2
Hauptsatz für endlich erzeugte abelsche Gruppen,,Lineare Algebra 2
Chinesischer Restsatz über HIR,,Lineare Algebra 2
Untermonoid,Monoid,Algebra 1
inverses Element,Gruppe,Algebra 1
Gruppenordnung,Gruppe&Kardinalität,Algebra 1
Untergruppe,Gruppe,Algebra 1
Untergruppenkriterium,Untergruppe,Algebra 1
Erzeugnis (gruppentheoretisch),Untergruppe,Algebra 1
zyklische Gruppe,Gruppe,Algebra 1
Kern eines Gruppenhomomorphismus,Gruppenhomomorphismus,Algebra 1
Bild eines Gruppenhomomorphismus,Gruppenhomomorphismus,Algebra 1
Isomorphismus von Gruppen,Gruppenhomomorphismus,Algebra 1
Satz von Cayley,symmetrische Gruppe,Algebra 1
Linksnebenklasse,Untergruppe,Algebra 1
Index einer Untergruppe,Untergruppe,Algebra 1
Satz von Lagrange,Untergruppe&Index einer Untergruppe,Algebra 1
Normalteiler,Untergruppe,Algebra 1
Faktorgruppe,Gruppe&Normalteiler,Algebra 1
kanonische Projektion auf Faktorgruppe,Faktorgruppe,Algebra 1
Homomorphiesatz für Gruppen,Gruppenhomomorphismus,Algebra 1
Isomorphiesätze für Gruppen,Homomorphiesatz für Gruppen,Algebra 1
Ordnung eines Gruppenelements,Untergruppe,Algebra 1
Kleiner Satz von Fermat,Ordnung eines Gruppenelements,Algebra 1
relativ prime Ideale,Ideal,Algebra 1
Chinesischer Restsatz,Chinesischer Restsatz über HIR,Algebra 1
Primideal,Primelement,Algebra 1
maximales Ideal,Primideal,Algebra 1
Polynomring,Ring&Polynom,Algebra 1
Körper der rationalen Funktionen,Polynomring,Algebra 1
universelle Eigenschaft des Polynomrings,Polynomring,Algebra 1
Quotientenringe und-körper,Ring&Körper,Algebra 1
universelle Eigenschaft von Quotientenringen,Quotientenringe und -körper,Algebra 1
Satz von Gauß über Polynomringe,Polynomring,Algebra 1
Primelemente in Polynomringen,Satz von Gauß über Polynomringe,Algebra 1
Irreduzibilitätskriterien für Polynome,Primelemente in Polynomringen&Polynomring,Algebra 1
Reduktionskriterium,Irreduzibilitätskriterien für Polynome,Algebra 1
Eisensteinsches Irreduzibilitätskriterium,Irreduzibilitätskriterien für Polynome,Algebra 1
Frobeniushomomorphismus,Charakteristik,Algebra 1
Körpererweiterung,Körper,Algebra 1
Gradsatz,Körpererweiterung,Algebra 1
algebraische (Un-)Abhängigkeit,Körpererweiterung,Algebra 1
algebraisches Element,Körpererweiterung,Algebra 1
transzendentes Element,Körpererweiterung,Algebra 1
algebraische Körpererweiterung,Körpererweiterung,Algebra 1
Minimalpolynom eines algebraischen Elements,Körpererweiterung,Algebra 1
Grad eines Elements einer Körpererweiterung,Körpererweiterung,Algebra 1
endlich erzeugte Körpererweiterung,Körpererweiterung,Algebra 1
Existenz eines algebraischen Abschlusses,Körper,Algebra 1
Eindeutigkeit des algebraischen Abschlusses bis auf Isomorphie,Existenz eines algebraischen Abschlusses,Algebra 1
Zerfällungskörper,Polynom,Algebra 1
normale Körpererweiterung,algebraische Körpererweiterung,Algebra 1
normale Hülle einer algebraischen Körpererweiterung,algebraische Körpererweiterung,Algebra 1
separables Polynom,Polynom,Algebra 1
separable Körperweiterung,algebraische Körpererweiterung&separables Polynom,Algebra 1
Separabilitätsgrad,algebraische Körpererweiterung,Algebra 1
separabler Abschluss,algebraische Körpererweiterung,Algebra 1
Satz vom primitiven Element,separable Körpererweiterung,Algebra 1
relativer Frobeniusautomorphismus,Frobeniushomomorphismus,Algebra 1
Galoiserweiterung,normale Körpererweiterung&separable Körpererweiterung,Algebra 1
Galoisgruppe,Galoiserweiterung,Algebra 1
Fixkörper,Galoiserweiterung,Algebra 1
Hauptsatz der Galoistheorie,Galoiserweiterung,Algebra 1
abelsche Galoiserweiterung,Galoiserweiterung,Algebra 1
Translationssatz der Galoistheorie,Galoiserweiterung,Algebra 1
Galoisgruppe eines Polynoms,Galoiserweiterung&Polynom,Algebra 1
Diskriminante eines Polynoms,Polynom,Algebra 1
Galoisgruppen kubischer Polynome,Galoisgruppe eines Polynoms,Algebra 1
symmetrische rationale Funktion,Körper der rationalen Funktionen,Algebra 1
elementarsymmetrisches Polynom,Polynom,Algebra 1
allgemeines Polynom n-ten Grades,Polynom,Algebra 1
Hauptsatz über symmetrische rationale Funktionen,symmetrische rationale Funktionen&elementarsymmetrisches Polynom,Algebra 1
Galoisgruppe des allgemeinen Polynom n-ten Grades,Galoisgruppe eines Polynoms&allgemeines Polynom n-ten Grades,Algebra 1
Einheitswurzel,,Algebra 1
primitive Einheitswurzel,Einheitswurzel,Algebra 1
zyklotomischer Charakter,Kreisteilungskörper und -polynome,Algebra 1
Kreisteilungskörper und -polynome,Galoiserweiterung,Algebra 1
Kreisteilungspolynome über endlichen Körpern,Galoiserweiterung&endlicher Körper,Algebra 1
Gruppenoperation,,Algebra 1
Zentrum einer Gruppe,Gruppe,Algebra 1
Bahn,Gruppenoperation,Algebra 1
Stabilisator,Gruppenoperation,Algebra 1
Bahnengleichung,Gruppenoperation,Algebra 1
Zentralisator,Untergruppe,Algebra 1
Normalisator,Untergruppe,Algebra 1
p-Gruppe,Gruppe,Algebra 1
p-Sylowgruppe,p-Gruppe,Algebra 1
Sylowsätze,p-Sylowgruppe,Algebra 1
Anwendungen der Sylowsätze,Sylowsätze,Algebra 1
Beweis der Sylowsätze,Sylowsätze,Algebra 1
Kommutator,,Algebra 1
Kommutatorgruppe,Untergruppe&Kommutator,Algebra 1
Normalreihe,Normalteiler,Algebra 1
auflösbare Gruppe,Normalreihe&Gruppe,Algebra 1
Norm in Körpererweiterungen,Körperweiterung,Algebra 1
lineare Unabhängigkeit von Charakteren,Hilberts Satz 90,Algebra 1
Hilberts Satz 90,Galoiserweiterung,Algebra 1
durch Radikale auflösbare Körpererweiterung,,Algebra 1
auflösbare Körpererweiterung,auflösbare Körpererweiterung&auflösbare Gruppe,Algebra 1
Nichtauflösbarkeit des allgemeinen Polynoms n-ten Grades für n>=5,durch Radikale auflösbare Körpererweiterung&allgemeines Polynom n-ten Grades,Algebra 1
Konstruktionen mit Zirkel und Lineal,Galoiserweiterung,Algebra 1
Konstruierbarkeit regelmäßiger n-Ecke,Konstruktionen mit Zirkel und Lineal&Kreisteilungskörper,Algebra 1
Unmöglichkeit von Würfelverdopplung mit Zirkel und Lineal,Konstruktionen mit Zirkel und Lineal,Algebra 1
Unmöglichkeit von Winkeldreiteilung mit Zirkel und Lineal,Konstruktionen mit Zirkel und Lineal&Konstruktionen regelmäßiger n-Ecke,Algebra 1
Unmöglichkeit der Quadratur des Kreises mit Zirkel und Lineal,Konstruktionen mit Zirkel und Lineal,Algebra 1
Kategorie,,Algebra 2
kategorieller Monomorphismus,,Algebra 2
kategorieller Epimorphismus,,Algebra 2
kategorieller Isomorphismus,,Algebra 2
Funktor,,Algebra 2
Kategorienäquivalenz,,Algebra 2
Teilkategorie,,Algebra 2
natürliche Transformation,,Algebra 2
inverser Funktor,,Algebra 2
adjungierter Funktor,,Algebra 2
kategorielles Produkt,,Algebra 2
Differenzenkern,,Algebra 2
kategorieller Limes,,Algebra 2
kategorieller Kolimes,,Algebra 2
Existenz kategorieller Limiten,,Algebra 2
Vertauschen von Limiten mit adjungierten Funktoren,,Algebra 2
Vertauschen von Limiten mit Limiten,,Algebra 2
filtrierte Kategorie,,Algebra 2
filtrierter Kolimes,,Algebra 2
Vertauschen von filtrierten Kolimiten mit endlichen Limiten in (Mengen),,Algebra 2
Filtrierte Limiten von endlichen Mengen,,Algebra 2
finaler Funktor,,Algebra 2
Bimodul,,Algebra 2
exakte Folge,,Algebra 2
"Exaktheit von Produkten, Koprodukten, filtrierten Kolimiten in (R-Mod)",,Algebra 2
exakter Funktor,,Algebra 2
Halbexaktheit adjungierter Funktoren in (R-Mod),,Algebra 2
ausgewogene Abbildung,,Algebra 2
Tensorprodukt,,Algebra 2
Konstruktion des Tensorprodukts,,Algebra 2
Adjunktion von Tensorprodukt und Hom-Funktor,,Algebra 2
Eigenschaften des Tensorprodukts,,Algebra 2
Erzeuger des Tensorprodukts,,Algebra 2
Tensorprodukt von Algebren,,Algebra 2
injektiver Modul,,Algebra 2
projektiver Modul,,Algebra 2
Charakterisierung projektiver und injektiver Moduln,,Algebra 2
Charaktergruppe,,Algebra 2
Kofreier Modul,,Algebra 2
flacher Modul,,Algebra 2
Charakterisierung flacher Moduln,,Algebra 2
treuflacher Modul,,Algebra 2
Noetherscher Modul,,Algebra 2
Noetherscher Ring,,Algebra 2
endlich präsentierbarer Modul,,Algebra 2
kohärenter Modul,,Algebra 2
kohärenter Ring,,Algebra 2
Artinscher Modul,,Algebra 2
Moduln endlicher Länge,,Algebra 2
Satz von Jordan-Hölder,,Algebra 2
Annullator eines Moduls,,Algebra 2
Jacobson-Radikal,,Algebra 2
nilpotentes Ideal,,Algebra 2
Nil-Ideal,,Algebra 2
Nakayama-Lemma,,Algebra 2
lokaler Ring,,Algebra 2
Erweiterung und Kontraktion von Idealen,,Algebra 2
treuflacher Ringhomomorphismus,,Algebra 2
Charakterisierung halbeinfacher Moduln und Ringe,,Algebra 2
Artin-Wedderburn-Theorem,,Algebra 2
artinscher Ring,,Algebra 2
J-halbeinfacher Ring,,Algebra 2
semilokaler Ring,,Algebra 2
semiprimärer Ring,,Algebra 2
Hopkins-Levitzki-Theorem,,Algebra 2
Spektrum eines kommutativen Rings,,Algebra 2
Primidealvermeidungssatz,,Algebra 2
Lokalisierungen von Ringen und Moduln,,Algebra 2
Flachheit der Lokalisierung,,Algebra 2
Übertragen von Eigenschaften von Moduln auf ihre Lokalisierung,,Algebra 2
Spektrum der Lokalisierung,,Algebra 2
lokale Ringe des Spektrums,,Algebra 2
affine Basis der Zariski-Topologie,,Algebra 2
Quasi-Kompaktheit affiner Schemata,,Algebra 2
Bild eines Morphismus affiner Schemata,,Algebra 2
endliche Algebra,,Algebra 2
endlich erzeugte Algebra,,Algebra 2
ganzes Element,,Algebra 2
ganze Algebra,,Algebra 2
Charakterisierung endlicher Algebren,,Algebra 2
ganzer Abschluss,,Algebra 2
Ganzabgeschlossenheit ist lokal,,Algebra 2
faktorielle Ringe sind ganz abgeschlossen,,Algebra 2
Going-up-Theorem,,Algebra 2
Incomparability,,Algebra 2
Klassischer Hilbertscher Nullstellensatz,,Algebra 2
Jacobson-Ring,,Algebra 2
topologische Charakterisierung von Jacobson-Ringen und J-Halbeinfachheit,,Algebra 2
J-Halbeinfachheit von Polynomringen über Integritätsbereichen,,Algebra 2
J-Halbeinfachheit in endlich erzeugten Erweiterungen,,Algebra 2
verallgemeinerter Nullstellensatz,,Algebra 2
Beweis des klassischen Nullstellensatzes,,Algebra 2
additive Kategorie,,Algebra 2
abelsche Kategorie,,Algebra 2
Bild und Kobild von Morphismen,,Algebra 2
Exaktheit in abelschen Kategorien,,Algebra 2
Freyd-Mitchell-Einbettungssatz,,Algebra 2
Grothendieck-Kategorie,,Algebra 2
Komplex,,Algebra 2
Homotopie von Morphismen von Komplexen,,Algebra 2
Homotopie-Äquivalenz,,Algebra 2
Quasi-Isomorphismus von Komplexen,,Algebra 2
