title,sort,description,heading,linked_media,author,teachable_type,course,term,lesson_number,video_file_link,video_stream_link,video_thumbnail_link,manuscript_link,external_reference_link,width,height,embedded_width,embedded_height,length,pages,video_size,manuscript_size,authoring_software,video_player,question_id,question_list,tags
KaViaR.SS17.LA2.E11,Kaviar,,,KaViaR.SS17.LA2.SP02,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,11,ss17/Lineare_Algebra_2/LineareAlgebra.S02E11.1080p/LineareAlgebra.S02E11.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E11.1080p/LineareAlgebra.S02E11.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E11.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E11.pdf,,1620,1080,1080,720,1h28m17s,5,189 MiB,2.9 MiB,Camtasia 9,TechSmith SmartPlayer,,,O(2)&adjungierte Abbildung&selbstadjungierter Endomorphismus
KaViaR.SS17.LA2.E12,Kaviar,,,KaViaR.SS17.LA2.SP03&SeSAM.SS17.LA2.E04&KeKs.SS17.LA2.Q05,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,12,ss17/Lineare_Algebra_2/LineareAlgebra.S02E12.1080p/LineareAlgebra.S02E12.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E12.1080p/LineareAlgebra.S02E12.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E12.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E12.pdf,,1620,1080,1080,720,1h33m53s,5,192 MiB,3.1 MiB,Camtasia 9,TechSmith SmartPlayer,,,selbstadjungierter Endomorphismus&Spektralsatz für selbstadjungierte Endomorphismen&Hauptachsentransformation
KaViaR.SS17.LA2.E13,Kaviar,,,KeKs.SS17.LA2.Q06,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,13,ss17/Lineare_Algebra_2/LineareAlgebra.S02E13.1080p/LineareAlgebra.S02E13.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E13.1080p/LineareAlgebra.S02E13.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E13.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E13.pdf,,1620,1080,1080,720,1h27m28s,5,185 MiB,3.8 MiB,Camtasia 9,TechSmith SmartPlayer,,,Sesquilinearform&hermitesche Form&unitärer Raum&normaler Endomorphismus
KaViaR.SS17.LA2.E14,Kaviar,,,KeKs.SS17.LA2.Q07,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,14,ss17/Lineare_Algebra_2/LineareAlgebra.S02E14.1080p/LineareAlgebra.S02E14.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E14.1080p/LineareAlgebra.S02E14.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E14.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E14.pdf,,1620,1080,1080,720,1h26m10s,5,175 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Spektralsatz für normale Endomorphismen&Ring&Ringhomomorphismus&Ideal&Hauptideal&Hauptidealring (HIR)&Restklasse&Faktorring
KaViaR.SS17.LA2.E15,Kaviar,,,KeKs.SS17.LA2.Q08,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,15,ss17/Lineare_Algebra_2/LineareAlgebra.S02E15.1080p/LineareAlgebra.S02E15.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E15.1080p/LineareAlgebra.S02E15.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E15.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E15.pdf,,1620,1080,1080,720,1h29m32s,4,189 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Nullteiler&Einheit&nullteilerfreier Ring&Teiler&assoziierte Ringelemente&größter gemeinsamer Teiler
KaViaR.SS17.LA2.E16,Kaviar,,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,16,ss17/Lineare_Algebra_2/LineareAlgebra.S02E16.1080p/LineareAlgebra.S02E16.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E16.1080p/LineareAlgebra.S02E16.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E16.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E16.pdf,,1620,1080,1080,720,1h26m22s,4,179 MiB,2.7 MiB,Camtasia 9,TechSmith SmartPlayer,,,irreduzibles Element&Primelement&faktorieller Ring&HIR sind faktoriell
KaViaR.SS17.LA2.E17,Kaviar,,,SeSAM.SS17.LA2.E05,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,17,ss17/Lineare_Algebra_2/LineareAlgebra.S02E17.1080p/LineareAlgebra.S02E17.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E17.1080p/LineareAlgebra.S02E17.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E17.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E17.pdf,,1620,1080,1080,720,1h26m56s,5,177 MiB,2.9 MiB,Camtasia 9,TechSmith SmartPlayer,,,Euklidischer Ring&Euklidische Ringe sind HIR&Euklidische Ringe sind faktoriell&Euklidischer Algorithmus&Gauß-Diagonalisierung von Matrizen über Euklidischen Ringen
KaViaR.SS17.LA2.E18,Kaviar,,,SeSAM.SS17.LA2.E06,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,18,ss17/Lineare_Algebra_2/LineareAlgebra.S02E18.1080p/LineareAlgebra.S02E18.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E18.1080p/LineareAlgebra.S02E18.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E18.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E18.pdf,,1620,1080,1080,720,1h30m12s,5,184 MiB,2.9 MiB,Camtasia 9,TechSmith SmartPlayer,,,Äquivalenz und Ähnlichkeit von Matrizen über Ringen&Fittingideale&Fittings Lemma&Elementarteilersatz für Matrizen über Euklidischen Ringen
KaViaR.SS17.LA2.E19,Kaviar,,,SeSAM.SS17.LA2.E07,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,19,ss17/Lineare_Algebra_2/LineareAlgebra.S02E19.1080p/LineareAlgebra.S02E19.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E19.1080p/LineareAlgebra.S02E19.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E19.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E19.pdf,,1620,1080,1080,720,1h26m11s,6,178 MiB,2.8 MiB,Camtasia 9,TechSmith SmartPlayer,,,charakteristische Matrix eines Endomorphismus&Satz von Frobenius&Invarianten- und Determinantenteiler einer Matrix&Invariantenteilersatz
KaViaR.SS17.LA2.E20,Kaviar,,,SeSAM.SS17.LA2.E08,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,20,ss17/Lineare_Algebra_2/LineareAlgebra.S02E20.1080p/LineareAlgebra.S02E20.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E20.1080p/LineareAlgebra.S02E20.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E20.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E20.pdf,,1620,1080,1080,720,1h13m22s,4,134 MiB,1.9 MiB,Camtasia 9,TechSmith SmartPlayer,,,Begleitmatrix&Frobenius-Normalform
